query,label
please help schedule a meeting today quick,1
can you email for tomoroow,0
would you mind jorward a mail with the team,0
please forwardpa mail at 5pm hmm,0
please help draft a message for tomorrow bote,0
would you mind add toumy calendar with John hey,1
i want to schedule a meeting soon note,1
please add to my calendar next monday right,1
i want to schedule a meeting about the projecu,1
i want to put something on my calendar with John,1
help me qchedule a meeting at 5pm,1
please help compose a mailytoday,0
please help sbhedule a meeting with John well,1
plhase help add an event about the project,1
please help send an email soon ok,0
i need to draft a message for tomorrow please,0
can you send an email at 5pm quick,0
please compose a mail toniwht just,0
i needuto set a reminder next monday,1
could you draft a meskage for next week,0
i need to wriue an email with John hey,0
klease add an event for next week,1
would you mind schedule reminder tonight urgent,1
please help write an emawl about the project,0
help me emailfabout the project,0
can you writeban email at 5pm,0
i need to forward a mail soon,0
would you mind put something oi my calendar with the team,1
please help send message at 5pm quick,0
could you add to my calendar at 5pm hmm,1
please scfedule reminder with the team,1
help me book a meeting about the project well,1
could you schedule reminder tonivht,1
irwant to add an event tonight well,1
can you add an event at 5pm note,1
pleaee help schedule reminder with the team ok,1
could you add an event about the project well,1
would you mindxcompose a mail next monday,0
could you book a meeting today well,1
i want to schedule a meeting tonight hmm,1
would you mind draft a message for next week,0
i want to compose a mail tcnight well,0
would you mind add qn event with the team,1
i need to put something on my calendav soon ok,1
please put something on my calundar today,1
i need to draft a message for tomorrow well,0
please put something on my calendar soon hey,1
can you put something on my cdlendar at 5pm,1
i need to write an email with John please,0
could you email soon please,0
help me forward a mail about the project urgent,0
i need to schedulh a meeting tonight well,1
i want to emaie today please,0
please help set a reminder for next week urgent,1
i need to forward a mail with the tuam,0
i need to scheduqe reminder for next week,1
can you forward a mail soon,0
i want to forward a mail with the team hey,0
help me add an event with John note,1
would hou mind compose a mail about the project,0
can you book a meeting soon right,1
i need to kchedule reminder tonight,1
could you send an email for tomkrrow urgent,0
i want to send an email at 5pm hmm,0
i want tohcompose a mail next monday please,0
i want to zrite an email soon,0
please help send an email at 5pm urgent,0
can youeemail at 5pm hey,0
i neud to send an email about the project,0
help me book a meeting today urgent,1
help me draft a message for next week just,0
help me set a reminder with the team just,1
could you schedule a meeting next monday well,1
i want to draft f message with the team,0
please help schedule reminder with thetteam,1
i want to book a meeting with the team just,1
could you hraft a message today,0
i need to add to my calendar for tomorrow just,1
please bonk a meeting today note,1
please help send message for tomorrow please,0
i want to set a reminder tonight right,1
would you mind set a reminder about the project note,1
can you add an event with the tvam,1
can you add an event soon please,1
could you draft a meswage today,0
please book a meeting today,1
would you mind add anuevent about the project,1
would you mind forward a mnil for tomorrow,0
help me schedule a meeting for tomorrow,1
please add an event with John uagent,1
would you mind email for toyorrow please,0
would you mind put something on my calendar soon quick,1
please draft a message for tomorrbw ok,0
please send message with the team ok,0
i want to set a reminder with John note,1
fan you set a reminder for next week just,1
please add an event today right,1
can you email today quick,0
could you draft a message tonight hmm,0
can you compose a mail today hey,0
would yoa mind schedule a meeting for next week just,1
wnuld you mind draft a message tonight,0
i want to add to my calendarowith the team,1
please setya reminder with John hmm,1
please help add to my calendar today ok,1
would you mind schedule reminder for tomorrow quick,1
please help forward a mail about the project just,0
i need to compose a mail today quick,0
could you add to my calendar today note,1
help me book a meeting at 5pm,1
can you schedule reminder tonight,1
i need to cokpose a mail with John,0
please schedule a meeting about the project well,1
would you mind send message soon,0
would you mind put something on my calendar for next week,1
could you forward a mail for tomorrow note,0
please email with John quick,0
can you forward a mail about the project note,0
would you mind book a meeting next monday right,1
would you mind put sooething on my calendar with the team,1
can you compose a mail today urgent,0
please help send message with John quick,0
would you mind set a reminder for next week right,1
can you write an email about thejproject,0
please help set a reminder about the project quick,1
could you put something on my calendvr tonight,1
i want to compose a mail about the project urgent,0
would you mind forward a mail for tomorrow,0
could you set a reminder wieh the team,1
help me add to my calendarjnext monday,1
l want to email with John,0
please add to my calendar with the team note,1
would you mind fonward a mail tonight hey,0
i need to draft a mesrage for next week note,0
help me edail tonight just,0
can you send message tonight ok,0
pleasevset a reminder today ok,1
i need to compose a mail with the teat,0
help me schedule reminder tonight hmm,1
plcase help add to my calendar next monday,1
pleaseqhelp forward a mail for tomorrow right,0
please help compode a mail next monday,0
can you send message withzJohn please,0
would you mind send an email with the team just,0
i neet to compose a mail for next week urgent,0
i need to draft a messave at 5pm note,0
please help add to mykcalendar about the project,1
i want to forward a mail for tomorrow right,0
help me schedule reminder at 5pm note,1
can you forhard a mail tonight,0
would you mind put something on my calendar for tlmorrow quick,1
i need to add to zy calendar next monday please,1
i need to add an event with the tewm just,1
could you compose a mail next monday,0
please help add an event for tomorrow well,1
please write an email soon hmm,0
would youcmind forward a mail with John well,0
i need to schedule a meeting tonight urgent,1
would you mend draft a message for tomorrow,0
i need to schedule reminder tonigrt,1
please put something on myucalendar next monday,1
help me write an email today note,0
please help add an event about the project hey,1
can you forward a mail at 5pm hey,0
i wantato send message soon right,0
i wantsto email for next week just,0
please send message at 5pm hey,0
would you mind schedule reminder today please,1
help me book a meeting about the project quick,1
pleasevhelp email tonight,0
can you draft a message ae 5pm just,0
can you book a meeting with the team hey,1
z need to draft a message with John well,0
would you minc put something on my calendar next monday right,1
can you email for domorrow,0
i want to book a meeting about the project hmm,1
would you mind email about the project well,0
can you add an event today quick,1
please forward a mail for tomorrow just,0
help me schedule reminjer today,1
can you set a reminxer with John please,1
please email next monday just,0
i want to draft a message forynext week,0
can you draft a message with John please,0
i need to email at 5pm,0
could yhu send an email about the project,0
i want to compose aimail today just,0
please help draft a message fou next week,0
please help schedule a meeting with the team ok,1
could you send an email for tomorrow note,0
i need to book a meeting tonight urgent,1
can you book a meeting at 5pm please,1
could you draft a message for tomorrow just,0
would you mind schedule a meeting about the project please,1
would you mind book a mesting for next week,1
i need to compose a mail for tomorrow,0
please compose aumail with the team,0
help me draft a message about the project right,0
would you mind add to my calendar for tomorrow ok,1
please schedule z meeting for tomorrow hmm,1
please email today urgent,0
would you mind wrcte an email about the project,0
please help put something on my calexdar today,1
i need to send an email for tomorrow please,0
could you send an email abouk the project,0
i need to write an email atp5pm hmm,0
help me sjhedule a meeting with John quick,1
i need to draft a qessage for next week,0
help me forward a mail forxtomorrow urgent,0
